dataset,system,method,llm,weighted,coverage,redundancy
ArgKP21,MCArgSum,Cluster,llama-3.3-70b-instruct,0.7647916666666666,0.7132738095238095,0.13217261904761907
ArgKP21,MCArgSum,Cluster,qwen-2.5-72b-instruct,0.8465145502645502,0.8091071428571429,0.07867063492063492
ArgKP21,MCArgSum,Cluster,qwen3-32b,0.8530654761904762,0.8392857142857143,0.119375
ArgKP21,MCArgSum,cluster,gpt-4o,0.8439484126984126,0.8439285714285715,0.15601190476190477
ArgKP21,USKPM,cluster,None,0.7998665223665223,0.8242261904761906,0.24885281385281385
